16:16:32.216 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
16:16:32.230 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
16:44:58.603 [ApplicationImpl pooled thread 40] INFO  c.b.l.BrowserStackRunExtension - testng
16:44:58.604 [ApplicationImpl pooled thread 40] INFO  com.browserstack.utils.Helpers - null
16:44:58.604 [ApplicationImpl pooled thread 40] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:01:09.115 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - testng
17:01:09.126 [ApplicationImpl pooled thread 35] INFO  com.browserstack.utils.Helpers - null
17:01:09.126 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:03:34.575 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - testng
17:03:34.575 [ApplicationImpl pooled thread 50] INFO  com.browserstack.utils.Helpers - null
17:03:34.575 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:04:53.826 [ApplicationImpl pooled thread 53] INFO  c.b.l.BrowserStackRunExtension - testng
17:04:53.826 [ApplicationImpl pooled thread 53] INFO  com.browserstack.utils.Helpers - null
17:04:53.827 [ApplicationImpl pooled thread 53] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:18:58.988 [ApplicationImpl pooled thread 60] INFO  c.b.l.BrowserStackRunExtension - testng
17:18:58.988 [ApplicationImpl pooled thread 60] INFO  com.browserstack.utils.Helpers - null
17:18:58.988 [ApplicationImpl pooled thread 60] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:52:33.405 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - testng
11:52:33.406 [ApplicationImpl pooled thread 11] INFO  com.browserstack.utils.Helpers - null
11:52:33.406 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:55:58.256 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - testng
11:55:58.256 [ApplicationImpl pooled thread 11] INFO  com.browserstack.utils.Helpers - null
11:55:58.256 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:00:07.161 [ApplicationImpl pooled thread 10] INFO  c.b.l.BrowserStackRunExtension - testng
12:00:07.161 [ApplicationImpl pooled thread 10] INFO  com.browserstack.utils.Helpers - null
12:00:07.161 [ApplicationImpl pooled thread 10] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:05:01.043 [ApplicationImpl pooled thread 10] INFO  c.b.l.BrowserStackRunExtension - testng
12:05:01.043 [ApplicationImpl pooled thread 10] INFO  com.browserstack.utils.Helpers - null
12:05:01.043 [ApplicationImpl pooled thread 10] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:11:27.024 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - testng
12:11:27.024 [ApplicationImpl pooled thread 20] INFO  com.browserstack.utils.Helpers - null
12:11:27.024 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:17:14.658 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - testng
12:17:14.658 [ApplicationImpl pooled thread 17] INFO  com.browserstack.utils.Helpers - null
12:17:14.658 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:21:35.303 [ApplicationImpl pooled thread 30] INFO  c.b.l.BrowserStackRunExtension - testng
12:21:35.303 [ApplicationImpl pooled thread 30] INFO  com.browserstack.utils.Helpers - null
12:21:35.303 [ApplicationImpl pooled thread 30] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:24:20.915 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - testng
12:24:20.915 [ApplicationImpl pooled thread 33] INFO  com.browserstack.utils.Helpers - null
12:24:20.915 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:24:54.473 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - testng
12:24:54.473 [ApplicationImpl pooled thread 33] INFO  com.browserstack.utils.Helpers - null
12:24:54.473 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:48:27.462 [ApplicationImpl pooled thread 38] INFO  c.b.l.BrowserStackRunExtension - application
12:48:27.462 [ApplicationImpl pooled thread 38] INFO  com.browserstack.utils.Helpers - null
12:50:21.886 [ApplicationImpl pooled thread 38] INFO  c.b.l.BrowserStackRunExtension - application
12:50:21.886 [ApplicationImpl pooled thread 38] INFO  com.browserstack.utils.Helpers - null
12:53:22.948 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - application
12:53:22.948 [ApplicationImpl pooled thread 35] INFO  com.browserstack.utils.Helpers - null
12:54:16.273 [ApplicationImpl pooled thread 39] INFO  c.b.l.BrowserStackRunExtension - application
12:54:16.273 [ApplicationImpl pooled thread 39] INFO  com.browserstack.utils.Helpers - null
12:55:36.732 [ApplicationImpl pooled thread 45] INFO  c.b.l.BrowserStackRunExtension - application
12:55:36.732 [ApplicationImpl pooled thread 45] INFO  com.browserstack.utils.Helpers - null
12:58:51.300 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - application
